n,k,m,naive_version_time,matrix_version_time,iterations_count
180,676,150,8.876110792160034,0.07106471061706543,10
181,676,150,10.265647649765015,0.27524852752685547,10
182,676,150,8.74718713760376,0.06205916404724121,10
183,676,150,8.79637360572815,0.06005215644836426,10
184,676,150,8.54038953781128,0.06005501747131348,10
185,676,150,8.836167573928833,0.05405116081237793,10
186,676,150,8.779292106628418,0.051048994064331055,10
187,676,150,9.29981803894043,0.05909872055053711,10
188,676,150,8.653188705444336,0.052053213119506836,10
189,676,150,9.192067623138428,0.054045915603637695,10
190,676,150,8.988425493240356,0.0550541877746582,10
191,676,150,9.224733352661133,0.05905318260192871,10
192,676,150,9.083541870117188,0.07006406784057617,10
193,676,150,9.404807329177856,0.06606125831604004,10
194,676,150,9.44541883468628,0.06206345558166504,10
195,676,150,9.681694984436035,0.059053659439086914,10
196,676,150,9.467604398727417,0.060060739517211914,10
197,676,150,9.495759010314941,0.05605196952819824,10
198,676,150,9.382411479949951,0.05524754524230957,10
199,676,150,9.4473135471344,0.05705571174621582,10
200,676,150,9.380279302597046,0.05605292320251465,10
201,676,150,10.25790810585022,0.06505870819091797,10
202,676,150,9.689277410507202,0.058054208755493164,10
203,676,150,9.877873182296753,0.056051015853881836,10
204,676,150,9.602120876312256,0.05805468559265137,10
205,676,150,9.74029541015625,0.05705404281616211,10
206,676,150,9.873229503631592,0.057044267654418945,10
207,676,150,10.382688522338867,0.06405758857727051,10
208,676,150,9.714820861816406,0.0620574951171875,10
209,676,150,10.1127028465271,0.06105923652648926,10
210,676,150,10.222304821014404,0.06005549430847168,10
211,676,150,10.450923204421997,0.05705380439758301,10
212,676,150,10.601993083953857,0.06105756759643555,10
213,676,150,10.789164781570435,0.05905652046203613,10
214,676,150,10.784612655639648,0.05905461311340332,10
215,676,150,10.749053001403809,0.05705571174621582,10
216,676,150,10.95222282409668,0.06506133079528809,10
217,676,150,10.79305911064148,0.060057640075683594,10
218,676,150,10.833647966384888,0.05704903602600098,10
219,676,150,11.155116319656372,0.06306767463684082,10
220,676,150,10.9266939163208,0.06305527687072754,10
221,676,150,10.918693542480469,0.06806302070617676,10
222,676,150,10.995724201202393,0.06505990028381348,10
223,676,150,10.881277561187744,0.061058998107910156,10
224,676,150,10.586827516555786,0.05910301208496094,10
225,676,150,10.80343747138977,0.06405997276306152,10
226,676,150,11.139131546020508,0.06306242942810059,10
227,676,150,12.155189037322998,0.07106423377990723,10
228,676,150,11.923779010772705,0.07807064056396484,10
229,676,150,11.786684274673462,0.06806135177612305,10
230,676,150,12.033038139343262,0.06906414031982422,10
231,676,150,12.124927282333374,0.06806302070617676,10
232,676,150,11.484416246414185,0.06105518341064453,10
233,676,150,11.782607793807983,0.0670623779296875,10
234,676,150,11.957185983657837,0.06806349754333496,10
235,676,150,12.652648687362671,0.07306671142578125,10
236,676,150,12.284523725509644,0.0720672607421875,10
237,676,150,12.620746612548828,0.07708406448364258,10
238,676,150,13.685825109481812,0.10109329223632812,10
239,676,150,13.43648076057434,0.08408045768737793,10
240,676,150,12.294439554214478,0.07406902313232422,10
241,676,150,12.528566122055054,0.06901049613952637,10
242,676,150,12.978771448135376,0.07807612419128418,10
243,676,150,12.888538837432861,0.07406973838806152,10
244,676,150,12.511354684829712,0.07158017158508301,10
245,676,150,12.193658351898193,0.06915521621704102,10
246,676,150,12.351666688919067,0.06406521797180176,10
247,676,150,12.465027332305908,0.06806230545043945,10
248,676,150,12.316465616226196,0.06606435775756836,10
249,676,150,13.025664806365967,0.06506133079528809,10
250,676,150,13.057038307189941,0.06906604766845703,10
251,676,150,13.204422235488892,0.06906247138977051,10
252,676,150,12.539216041564941,0.0670626163482666,10
253,676,150,13.00583028793335,0.07206869125366211,10
254,676,150,13.124788761138916,0.07207036018371582,10
255,676,150,13.411996841430664,0.07507109642028809,10
256,676,150,12.715261697769165,0.06806325912475586,10
257,676,150,13.191438436508179,0.07607126235961914,10
258,676,150,13.08676028251648,0.07106637954711914,10
259,676,150,13.261944055557251,0.06913399696350098,10
260,676,150,13.132187604904175,0.0870823860168457,10
261,676,150,13.871812582015991,0.07507061958312988,10
262,676,150,13.366652011871338,0.07206439971923828,10
263,676,150,13.558407306671143,0.06906580924987793,10
264,676,150,13.130946636199951,0.06906437873840332,10
265,676,150,13.318907976150513,0.0680696964263916,10
266,676,150,13.416810989379883,0.0670633316040039,10
267,676,150,13.575013875961304,0.07006716728210449,10
268,676,150,13.448896884918213,0.0700685977935791,10
269,676,150,13.54405689239502,0.07106709480285645,10
270,676,150,13.619028091430664,0.0700690746307373,10
271,676,150,13.817801237106323,0.07007145881652832,10
272,676,150,13.454609870910645,0.0700681209564209,10
273,676,150,14.024723768234253,0.07306838035583496,10
274,676,150,15.158844709396362,0.07008004188537598,10
275,676,150,15.403184175491333,0.07106995582580566,10
276,676,150,15.167569160461426,0.07306718826293945,10
277,676,150,15.442650556564331,0.07106542587280273,10
278,676,150,15.408160209655762,0.07306766510009766,10
279,676,150,15.569260835647583,0.0736236572265625,10
280,676,150,15.356662034988403,0.07306814193725586,10
281,676,150,15.65859603881836,0.07106781005859375,10
282,676,150,15.782896280288696,0.07507038116455078,10
283,676,150,15.798396110534668,0.07006621360778809,10
284,676,150,15.588348150253296,0.0700685977935791,10
285,676,150,15.823322772979736,0.07407021522521973,10
286,676,150,15.988558053970337,0.07307100296020508,10
287,676,150,16.13611078262329,0.0712132453918457,10
288,676,150,15.94240117073059,0.07206606864929199,10
289,676,150,16.279659748077393,0.07306742668151855,10
290,676,150,14.913065195083618,0.07406735420227051,10
291,676,150,15.08153223991394,0.07306909561157227,10
292,676,150,14.814054727554321,0.0730741024017334,10
293,676,150,15.053144931793213,0.07406949996948242,10
294,676,150,15.127963304519653,0.07607245445251465,10
295,676,150,15.32353925704956,0.07407379150390625,10
296,676,150,14.9944486618042,0.0770723819732666,10
297,676,150,15.332746744155884,0.07506990432739258,10
298,676,150,15.351807832717896,0.0720663070678711,10
299,676,150,15.641531467437744,0.07506990432739258,10
300,676,150,15.35187816619873,0.07507181167602539,10
301,676,150,15.600045680999756,0.07707357406616211,10
302,676,150,15.542459726333618,0.07607102394104004,10
303,676,150,15.908973693847656,0.08007931709289551,10
304,676,150,15.544681549072266,0.07607603073120117,10
305,676,150,16.060757875442505,0.07907509803771973,10
306,676,150,15.918466091156006,0.07907247543334961,10
307,676,150,16.112149477005005,0.07907748222351074,10
308,676,150,15.953110694885254,0.0750741958618164,10
309,676,150,16.272019147872925,0.07707023620605469,10
310,676,150,16.17692542076111,0.07412505149841309,10
311,676,150,16.517282009124756,0.07807135581970215,10
312,676,150,16.053358793258667,0.07707452774047852,10
313,676,150,16.374202489852905,0.07707476615905762,10
314,676,150,16.3006374835968,0.0800771713256836,10
315,676,150,16.654135704040527,0.07707405090332031,10
316,676,150,16.4474356174469,0.07607078552246094,10
317,676,150,16.479818105697632,0.07807397842407227,10
318,676,150,16.59022307395935,0.07907629013061523,10
319,676,150,16.889108657836914,0.07807517051696777,10
320,676,150,15.920545816421509,0.07807588577270508,10
321,676,150,16.781102657318115,0.0750737190246582,10
322,676,150,16.843295335769653,0.08307957649230957,10
323,676,150,17.185925722122192,0.08207535743713379,10
324,676,150,16.893274784088135,0.07907748222351074,10
325,676,150,17.13015079498291,0.07807636260986328,10
326,676,150,17.088150024414062,0.07860231399536133,10
327,676,150,17.40945315361023,0.08208060264587402,10
328,676,150,17.000892639160156,0.08308053016662598,10
329,676,150,17.418764352798462,0.07807755470275879,10
330,676,150,17.236557483673096,0.07507205009460449,10
331,676,150,17.746115684509277,0.07907414436340332,10
332,676,150,17.36123013496399,0.07707357406616211,10
333,676,150,17.539254903793335,0.07807588577270508,10
334,676,150,17.77724051475525,0.08207964897155762,10
335,676,150,17.900076866149902,0.08107852935791016,10
336,676,150,17.680286169052124,0.07807445526123047,10
337,676,150,17.86040949821472,0.0800778865814209,10
338,676,150,17.91076683998108,0.08107519149780273,10
339,676,150,18.078624486923218,0.08107686042785645,10
340,676,150,17.800307989120483,0.08206820487976074,10
341,676,150,18.170177936553955,0.08208012580871582,10
342,676,150,18.111193418502808,0.0840761661529541,10
343,676,150,18.381810665130615,0.08508110046386719,10
344,676,150,17.989664793014526,0.08607792854309082,10
345,676,150,18.465639352798462,0.08107829093933105,10
346,676,150,18.389700889587402,0.08808255195617676,10
347,676,150,18.62911367416382,0.08808445930480957,10
348,676,150,18.483055591583252,0.08708333969116211,10
349,676,150,18.877806901931763,0.08707809448242188,10
350,676,150,18.807713985443115,0.08908462524414062,10
351,676,150,19.077144145965576,0.08608245849609375,10
352,676,150,18.71508502960205,0.08808374404907227,10
353,676,150,19.090248823165894,0.09208273887634277,10
354,676,150,19.059004545211792,0.08708548545837402,10
355,676,150,19.212311267852783,0.08608341217041016,10
356,676,150,18.88721537590027,0.08908247947692871,10
357,676,150,19.04152822494507,0.08808565139770508,10
358,676,150,19.146451950073242,0.08908343315124512,10
359,676,150,19.4679057598114,0.08708524703979492,10
360,676,150,19.157247304916382,0.08908867835998535,10
361,676,150,19.487210988998413,0.09108638763427734,10
362,676,150,19.637367010116577,0.08808517456054688,10
363,676,150,19.707929611206055,0.08608007431030273,10
364,676,150,19.111733436584473,0.08808445930480957,10
365,676,150,19.79992437362671,0.08808612823486328,10
366,676,150,19.847650051116943,0.09008169174194336,10
367,676,150,20.028650283813477,0.08808469772338867,10
368,676,150,19.56055235862732,0.09208893775939941,10
369,676,150,20.133760929107666,0.09108781814575195,10
370,676,150,20.054243326187134,0.08708405494689941,10
371,676,150,20.228359699249268,0.09308552742004395,10
372,676,150,20.15498375892639,0.08999896049499512,10
373,676,150,20.661502361297607,0.09709024429321289,10
374,676,150,20.640443801879883,0.0940852165222168,10
375,676,150,20.852493047714233,0.09309053421020508,10
376,676,150,20.405248641967773,0.09408807754516602,10
377,676,150,20.849839210510254,0.09107661247253418,10
378,676,150,20.93169379234314,0.09309148788452148,10
379,676,150,21.170469284057617,0.09408807754516602,10
380,676,150,20.575359582901,0.09108757972717285,10
381,676,150,21.169614791870117,0.09508848190307617,10
382,676,150,21.468496322631836,0.09508919715881348,10
383,676,150,21.48258638381958,0.09108567237854004,10
384,676,150,22.904027462005615,0.08892560005187988,10
385,676,150,21.625833749771118,0.0970923900604248,10
386,676,150,21.64321279525757,0.09609007835388184,10
387,676,150,21.62678837776184,0.09908938407897949,10
388,676,150,21.477388381958008,0.09709024429321289,10
389,676,150,21.7179114818573,0.09809017181396484,10
390,676,150,21.836560249328613,0.0970919132232666,10
391,676,150,22.103188276290894,0.10009264945983887,10
392,676,150,21.58017611503601,0.0970916748046875,10
393,676,150,22.08210015296936,0.0990900993347168,10
394,676,150,22.332937479019165,0.0990915298461914,10
395,676,150,22.404474020004272,0.10109400749206543,10
396,676,150,21.966214656829834,0.09920167922973633,10
397,676,150,22.453932285308838,0.10109663009643555,10
398,676,150,22.3128981590271,0.10309386253356934,10
399,676,150,22.627491235733032,0.10409355163574219,10
400,676,150,22.3584041595459,0.10595345497131348,10
401,676,150,22.773978233337402,0.10409736633300781,10
402,676,150,22.797744750976562,0.10109710693359375,10
403,676,150,23.190248250961304,0.09909200668334961,10
404,676,150,22.504408836364746,0.10809826850891113,10
405,676,150,23.033740282058716,0.1020958423614502,10
406,676,150,23.089739561080933,0.09708952903747559,10
407,676,150,23.38328266143799,0.10409379005432129,10
408,676,150,22.80357074737549,0.09809231758117676,10
409,676,150,23.41102933883667,0.10209417343139648,10
410,676,150,23.39704394340515,0.10109376907348633,10
411,676,150,23.57660961151123,0.10709881782531738,10
412,676,150,22.985816717147827,0.10309433937072754,10
413,676,150,23.620758533477783,0.10532617568969727,10
414,676,150,23.883010625839233,0.10409808158874512,10
415,676,150,23.908727407455444,0.10309553146362305,10
416,676,150,23.71773386001587,0.10609817504882812,10
417,676,150,23.993989944458008,0.10609674453735352,10
418,676,150,24.13690733909607,0.1040945053100586,10
419,676,150,24.53763484954834,0.10255670547485352,10
420,676,150,23.853047609329224,0.10209178924560547,10
421,676,150,24.31644320487976,0.1040952205657959,10
422,676,150,24.517144441604614,0.10309863090515137,10
423,676,150,24.558998823165894,0.10509896278381348,10
424,676,150,23.98131251335144,0.10360908508300781,10
425,676,150,24.58931851387024,0.10809755325317383,10
426,676,150,24.659169912338257,0.10209488868713379,10
427,676,150,25.004878759384155,0.11310553550720215,10
428,676,150,24.3841233253479,0.1191091537475586,10
429,676,150,25.07862663269043,0.10009264945983887,10
430,676,150,25.04784321784973,0.10709857940673828,10
431,676,150,25.05668616294861,0.10209417343139648,10
432,676,150,24.678765058517456,0.1040961742401123,10
433,676,150,25.264503002166748,0.11010384559631348,10
434,676,150,25.49919867515564,0.10910391807556152,10
435,676,150,25.51375460624695,0.1261153221130371,10
436,676,150,24.904212713241577,0.10009407997131348,10
437,676,150,25.474672555923462,0.10009026527404785,10
438,676,150,25.826409816741943,0.10309720039367676,10
439,676,150,25.947640419006348,0.10075640678405762,10
440,676,150,25.38971710205078,0.10309600830078125,10
441,676,150,25.992321252822876,0.10610032081604004,10
442,676,150,25.972567081451416,0.10609817504882812,10
443,676,150,26.08765149116516,0.10609745979309082,10
444,676,150,25.678584575653076,0.10962891578674316,10
445,676,150,26.25808811187744,0.11510515213012695,10
446,676,150,26.416897296905518,0.11011219024658203,10
447,676,150,26.565882205963135,0.11010241508483887,10
448,676,150,27.162960290908813,0.10609817504882812,10
449,676,150,26.611889362335205,0.1090998649597168,10
450,676,150,26.960954189300537,0.1071019172668457,10
451,676,150,26.836435079574585,0.10817551612854004,10
452,676,150,26.282005310058594,0.10817933082580566,10
453,676,150,26.984065771102905,0.11210489273071289,10
454,676,150,26.884809494018555,0.1135096549987793,10
455,676,150,27.260820388793945,0.10810279846191406,10
456,676,150,26.559168815612793,0.11110210418701172,10
457,676,150,27.118964433670044,0.11110210418701172,10
458,676,150,27.368383169174194,0.11110281944274902,10
459,676,150,27.63371706008911,0.11010432243347168,10
460,676,150,27.214313507080078,0.11010074615478516,10
461,676,150,27.81390690803528,0.11110472679138184,10
462,676,150,27.83868956565857,0.11110615730285645,10
463,676,150,27.97792387008667,0.11310410499572754,10
464,676,150,27.254082918167114,0.11527752876281738,10
465,676,150,27.94381618499756,0.11710762977600098,10
466,676,150,27.905439138412476,0.11361098289489746,10
467,676,150,28.285360097885132,0.11510610580444336,10
468,676,150,27.6138014793396,0.1161050796508789,10
469,676,150,28.231725454330444,0.11009979248046875,10
470,676,150,28.347611665725708,0.1161043643951416,10
471,676,150,28.93195629119873,0.12511706352233887,10
472,676,150,28.480223655700684,0.11510324478149414,10
473,676,150,29.24066972732544,0.15614724159240723,10
474,676,150,31.942429304122925,0.1389923095703125,10
475,676,150,30.709328174591064,0.12111568450927734,10
476,676,150,29.895872831344604,0.12611794471740723,10
477,676,150,31.260725498199463,0.14251446723937988,10
478,676,150,30.580549478530884,0.12111520767211914,10
479,676,150,30.9349467754364,0.12511229515075684,10
480,676,150,31.008543968200684,0.12311434745788574,10
481,676,150,30.776281356811523,0.1211092472076416,10
482,676,150,30.997901439666748,0.12311339378356934,10
483,676,150,31.510845184326172,0.14606642723083496,10
484,676,150,31.756168842315674,0.14012932777404785,10
485,676,150,32.27850914001465,0.15113615989685059,10
486,676,150,31.622902631759644,0.12511515617370605,10
487,676,150,31.98516869544983,0.12711620330810547,10
488,676,150,31.440512895584106,0.12311410903930664,10
489,676,150,31.707127571105957,0.11960244178771973,10
490,676,150,31.83591866493225,0.12418603897094727,10
491,676,150,32.10817503929138,0.1261131763458252,10
492,676,150,32.23017692565918,0.13212013244628906,10
493,676,150,32.79546070098877,0.1311192512512207,10
494,676,150,32.647332429885864,0.1181175708770752,10
495,676,150,34.09236288070679,0.14213013648986816,10
496,676,150,32.1922492980957,0.1254122257232666,10
497,676,150,32.81720018386841,0.13112092018127441,10
498,676,150,32.517417192459106,0.12311315536499023,10
499,676,150,33.29307150840759,0.13212060928344727,10
