n,k,m,naive_version_time,matrix_version_time,iterations_count
72,528,328,9.728723526000977,0.03903651237487793,10
72,159,724,6.596864461898804,0.04003643989562988,10
72,350,739,14.38325834274292,0.06305575370788574,10
72,307,898,15.348769903182983,0.07306718826293945,10
72,481,933,24.67205810546875,0.09959793090820312,10
72,41,192,0.43239283561706543,0.0050046443939208984,10
72,472,552,14.374525547027588,0.05143117904663086,10
72,515,346,9.805800199508667,0.03703594207763672,10
72,868,910,44.014777421951294,0.16514992713928223,10
72,266,287,4.25060510635376,0.014006614685058594,10
72,208,468,5.49161171913147,0.024022340774536133,10
72,54,665,2.0493781566619873,0.03503227233886719,10
72,247,859,11.868129014968872,0.0620574951171875,10
72,152,304,2.5788652896881104,0.011014223098754883,10
72,658,71,2.645411491394043,0.0250241756439209,10
72,576,682,21.9571750164032,0.07907581329345703,10
72,562,883,27.431401252746582,0.1080935001373291,10
72,341,72,1.3831071853637695,0.010009527206420898,10
72,583,462,14.849255800247192,0.0520472526550293,10
72,645,425,15.113287210464478,0.057559967041015625,10
72,656,487,19.013455629348755,0.07707047462463379,10
72,713,878,35.13516616821289,0.13211989402770996,10
72,943,565,29.520600080490112,0.11210322380065918,10
72,159,829,7.2649009227752686,0.04704117774963379,10
72,311,509,8.904016733169556,0.03391456604003906,10
72,166,804,7.361825704574585,0.04655122756958008,10
72,803,360,15.944018840789795,0.06256508827209473,10
72,85,790,3.6940979957580566,0.031029939651489258,10
72,957,127,6.790694236755371,0.059055328369140625,10
72,527,218,6.3948633670806885,0.02802586555480957,10
72,272,67,1.0029256343841553,0.0070073604583740234,10
72,972,971,53.15695667266846,0.1986374855041504,10
72,85,602,2.8731584548950195,0.019234418869018555,10
72,904,884,44.94724202156067,0.1681509017944336,10
72,472,253,6.735778570175171,0.030027389526367188,10
72,372,252,5.228865623474121,0.026015758514404297,10
72,953,825,44.20600914955139,0.16915178298950195,10
72,693,850,32.94329857826233,0.1256258487701416,10
72,712,627,27.059844732284546,0.17526841163635254,10
72,817,55,3.2688426971435547,0.07056665420532227,10
72,505,876,27.685245275497437,0.14028143882751465,10
72,838,659,31.778711557388306,0.11410689353942871,10
72,542,101,3.0809099674224854,0.022392749786376953,10
72,714,202,8.027658700942993,0.044045448303222656,10
72,939,665,34.96982479095459,0.12811756134033203,10
72,174,514,5.444253921508789,0.025023221969604492,10
72,572,873,31.605669260025024,0.15414047241210938,10
72,959,32,1.8853840827941895,0.05405378341674805,10
72,458,909,26.067522287368774,0.15514087677001953,10
72,313,450,8.215019702911377,0.0320286750793457,10
72,312,897,16.170430421829224,0.0720667839050293,10
72,855,117,5.61658239364624,0.04504561424255371,10
72,431,20,0.4811680316925049,0.013010978698730469,10
72,527,482,14.882853746414185,0.053945302963256836,10
72,1000,72,4.213019132614136,0.05505061149597168,10
72,444,632,16.036447286605835,0.059053659439086914,10
72,634,709,26.452749252319336,0.10298633575439453,10
72,239,635,8.729268074035645,0.040035247802734375,10
72,891,934,48.59746170043945,0.1831655502319336,10
72,737,560,23.975897073745728,0.11210441589355469,10
72,143,164,1.3190174102783203,0.007004976272583008,10
72,422,442,10.688922882080078,0.04103517532348633,10
72,958,414,23.10872507095337,0.10609674453735352,10
72,69,169,0.6592142581939697,0.0060045719146728516,10
72,747,698,30.413851499557495,0.11309981346130371,10
72,944,619,34.11688470840454,0.13264942169189453,10
72,62,111,0.3883521556854248,0.0050051212310791016,10
72,208,472,5.617040157318115,0.040035247802734375,10
72,89,80,0.4113750457763672,0.0040035247802734375,10
72,384,390,8.868290901184082,0.036290645599365234,10
72,921,218,12.01793098449707,0.07306551933288574,10
72,547,353,11.360128402709961,0.04404044151306152,10
72,632,115,4.274786949157715,0.027025699615478516,10
72,856,139,6.743955373764038,0.05404973030090332,10
